접수일자,처리일시,민원명,민원요지,주관부서명,처리내용
2026-04-04 15:06,2026-04-05 22:30,불법 폐기물 방치 신고,공터에 폐가구와 폐자재가 장기간 방치되어 있습니다.,자원순환과,방치 폐기물 현장을 확인하고 처리 절차를 안내함.
2026-01-26 11:22,2026-01-28 19:37,공사장 안전 관리 요청,건축 공사장 주변 안전 펜스가 부족해 위험합니다.,건축과,공사장 안전관리 상태를 확인하고 보완을 요청함.
2026-02-13 10:11,2026-02-16 13:05,버스 노선 신설 요청,신규 아파트 단지 주변에 버스 노선이 부족합니다.,버스운영과,대중교통 수요와 노선 연계성을 검토함.
2026-03-11 13:44,2026-03-16 19:57,보행로 턱 낮춤 요청,휠체어와 유모차가 이동하기 어렵게 보도 턱이 높습니다.,도로과,보도 턱 낮춤 설치 가능 여부를 검토함.
2026-01-02 09:00,2026-01-05 16:42,긴급복지 지원 문의,갑작스러운 실직으로 생계 지원을 받을 수 있는지 문의합니다.,복지정책과,긴급복지 지원 대상과 신청 절차를 안내함.
2026-04-26 09:17,2026-05-02 13:26,공사장 먼지 신고,공사 현장에서 먼지가 많이 발생해 창문을 열 수 없습니다.,기후환경정책과,비산먼지 관리 조치 여부를 확인함.
2026-02-07 10:28,2026-02-13 17:04,보행 신호 음향기 설치 요청,시각장애인을 위한 보행 신호 음향기가 필요합니다.,교통정책과,보행 보조시설 설치 가능성을 관계 부서와 검토함.
2026-01-26 11:22,2026-01-29 13:27,불법주정차 단속 요청,상가 앞 불법주정차 차량으로 인해 차량 통행이 어렵습니다.,교통정책과,해당 구간의 단속 필요성을 확인하고 관계 기관에 조치 요청함.
2026-03-07 11:22,2026-03-08 17:47,도로 배수 불량 신고,비가 오면 도로에 물이 고여 차량 운행이 어렵습니다.,도로과,배수 시설 상태를 점검하고 정비 필요성을 검토함.
2026-03-29 12:33,2026-03-30 14:42,음식물쓰레기 악취 신고,음식물쓰레기 수거함 주변 악취가 심합니다.,자원순환과,수거함 관리 상태를 확인하고 청결 관리 강화를 요청함.
2026-03-31 13:44,2026-04-06 17:34,종량제 봉투 판매처 문의,근처에서 종량제 봉투를 구매할 수 있는 곳을 알고 싶습니다.,자원순환과,주변 판매처와 구매 방법을 안내함.
2026-01-04 10:11,2026-01-10 15:26,민원 답변 내용 재확인 요청,받은 민원 답변의 내용이 이해되지 않아 추가 설명을 요청합니다.,소통민원과,기존 답변 내용을 재검토하고 담당 부서 의견을 보완하여 안내함.
2026-05-14 15:06,2026-05-20 23:41,배수로 막힘 신고,동네 배수로가 막혀 비가 오면 물이 넘칩니다.,물환경과,배수로 막힘 현장을 확인하고 준설 필요성을 검토함.
2026-02-01 14:55,2026-02-05 21:22,공사장 가림막 민원,공사장 가림막이 보행로를 침범해 통행이 불편합니다.,건축과,현장 확인 후 보행로 확보 조치를 요청함.
2026-02-15 11:22,2026-02-17 13:46,버스 정류장 이전 요청,현재 정류장 위치가 횡단보도와 멀어 이용이 불편합니다.,버스운영과,정류장 위치 변경 가능 여부를 현장 여건과 함께 검토함.
2026-01-08 12:33,2026-01-09 15:10,민원 접수 번호 확인 요청,접수한 민원의 접수 번호를 확인할 수 없어 조회를 요청합니다.,소통민원과,신청자 정보를 확인한 뒤 접수 번호와 조회 방법을 안내함.
2026-01-14 15:06,2026-01-16 16:10,생계비 지원 문의,일시적으로 생계비가 부족해 지원을 받을 수 있는지 문의합니다.,복지정책과,지원 가능 제도와 신청 기관을 안내함.
2026-02-17 12:33,2026-02-21 17:28,풍수해 대비 문의,집 주변 침수 위험이 있어 풍수해 대비 방법을 문의합니다.,안전정책과,풍수해 대비 행동 요령과 관련 지원 정보를 안내함.
2026-05-08 12:33,2026-05-10 14:38,수돗물 수질 문의,가정에서 수돗물 냄새가 나 수질 검사를 요청합니다.,물환경과,수질 검사 절차와 관련 기관 연락 방법을 안내함.
2026-01-22 09:00,2026-01-24 14:42,불법 건축물 신고,주택가에 무단 증축으로 보이는 건축물이 있습니다.,건축과,건축물 현황을 확인하고 위반 여부를 검토함.
2026-02-05 09:17,2026-02-11 11:00,철거 공사 소음 신고,건물 철거 공사 소음과 먼지로 불편합니다.,건축과,공사장 관리 기준 준수 여부를 확인함.
2026-02-05 09:17,2026-02-10 15:10,좌회전 신호 신설 요청,차량 대기 시간이 길어 좌회전 신호 신설을 요청합니다.,교통정책과,교통량 자료를 검토하여 좌회전 신호 신설 가능성을 확인함.
2026-01-30 13:44,2026-02-02 19:35,보행자 안전시설 설치 요청,차량 통행이 많은 도로에 보행자 안전시설이 부족합니다.,교통정책과,보행자 안전시설 설치 가능성을 검토함.
2026-02-21 14:55,2026-02-26 16:58,낙상 위험 신고,버스정류장 옆 경사로가 미끄러워 낙상 위험이 있습니다.,안전정책과,현장 확인 후 안전 조치 필요성을 검토함.
2026-01-20 11:39,2026-01-21 15:23,시민 불편사항 접수 문의,생활 불편사항을 어디로 접수해야 하는지 알고 싶습니다.,소통민원과,민원 접수 창구와 처리 절차를 안내함.
2026-02-27 10:28,2026-03-05 14:38,버스 혼잡 완화 요청,등교 시간 특정 노선의 승객 혼잡이 매우 심합니다.,버스운영과,혼잡 시간대 운행 증차 가능성을 검토함.
2026-01-06 11:22,2026-01-11 19:29,복지 서비스 연계 요청,가족 돌봄이 어려워 이용 가능한 복지 서비스를 찾고 있습니다.,복지정책과,상담 후 지역 복지 서비스 연계 가능성을 안내함.
2026-05-02 09:00,2026-05-05 17:01,하천 수질 오염 신고,하천에 기름띠가 보여 수질 오염이 의심됩니다.,물환경과,현장 확인 후 수질 오염 여부를 조사함.
2026-01-24 10:11,2026-01-26 14:59,어린이보호구역 안전 개선 요청,학교 앞 차량 속도가 빨라 어린이 보행 안전이 우려됩니다.,교통정책과,어린이보호구역 교통안전 시설 설치 필요성을 검토함.
2026-03-13 14:55,2026-03-19 23:20,도로 공사 안내 부족 신고,도로 공사 구간 안내 표지가 부족해 운전자가 혼란스럽습니다.,도로과,공사 안내 표지 설치 상태를 확인하고 보완 요청함.
2026-04-18 12:33,2026-04-22 14:19,소음 환경 민원,야간 공사 소음으로 수면에 방해를 받고 있습니다.,기후환경정책과,소음 측정 및 공사장 관리 기준 준수 여부를 확인함.
2026-03-01 11:39,2026-03-05 12:49,어린이 놀이시설 안전 신고,놀이터 시설 일부가 파손되어 아이들이 다칠 수 있습니다.,안전정책과,어린이 놀이시설 안전 점검을 요청함.
2026-04-12 09:00,2026-04-17 14:49,공장 악취 민원,주거지 인근 공장에서 악취가 지속적으로 발생합니다.,기후환경정책과,악취 발생 여부를 확인하고 관련 기준에 따른 점검을 요청함.
2026-04-22 14:55,2026-04-24 17:50,친환경 차량 지원 문의,전기차 구매 지원금 신청 방법을 문의합니다.,기후환경정책과,친환경 차량 보급 사업 신청 절차를 안내함.
2026-01-18 10:28,2026-01-19 12:23,복지급여 변경 문의,가구 소득이 바뀌어 복지급여 변경 신고가 필요한지 알고 싶습니다.,복지정책과,변경 신고 절차와 필요 서류를 안내함.
2026-04-30 11:39,2026-05-05 13:17,자동차 배출가스 신고,매연이 심한 차량을 신고하고 싶습니다.,기후환경정책과,운행차 배출가스 신고 절차를 안내함.
2026-02-27 10:28,2026-03-03 18:41,집중호우 위험 신고,비가 많이 오면 지하차도 주변이 위험해 보입니다.,안전정책과,집중호우 취약 지점 여부를 확인하고 관리 방안을 검토함.
2026-01-10 13:44,2026-01-14 14:45,시정 제안 접수 문의,대구시 정책 개선과 관련된 제안을 어디에 제출해야 하는지 알고 싶습니다.,소통민원과,시민 제안 접수 절차와 온라인 제출 경로를 안내함.
